mgm_bldrgst_pk,sigungu_cd,bjdong_cd,plat_gb_cd,bun,ji,dong_nm,t_unit
11710-100217359,11710,10200,0,0017,0000,309동,6864
11710-100217492,11710,10200,0,0017,0000,310동,6864
11710-100217613,11710,10200,0,0017,0000,311동,6864
11710-100217734,11710,10200,0,0017,0000,315동,6864
11710-100217849,11710,10200,0,0017,0000,312동,6864
11710-100217958,11710,10200,0,0017,0000,316동,6864
11710-100218061,11710,10200,0,0017,0000,313동,6864
11710-100218170,11710,10200,0,0017,0000,308동,6864
11710-100218315,11710,10200,0,0017,0000,317동,6864
11710-100218406,11710,10200,0,0017,0000,314동,6864
11710-100218535,11710,10200,0,0017,0000,211동,6864
11710-100218680,11710,10200,0,0017,0000,201동,6864
11710-100218753,11710,10200,0,0017,0000,202동,6864
11710-100218826,11710,10200,0,0017,0000,105동,6864
11710-100218913,11710,10200,0,0017,0000,114동,6864
11710-100219058,11710,10200,0,0017,0000,212동,6864
11710-100219203,11710,10200,0,0017,0000,106동,6864
11710-100219258,11710,10200,0,0017,0000,203동,6864
11710-100219343,11710,10200,0,0017,0000,107동,6864
11710-100219442,11710,10200,0,0017,0000,204동,6864
11710-100219527,11710,10200,0,0017,0000,213동,6864
11710-100219672,11710,10200,0,0017,0000,115동,6864
11710-100219817,11710,10200,0,0017,0000,205동,6864
11710-100219884,11710,10200,0,0017,0000,101동,6864
11710-100220045,11710,10200,0,0017,0000,108동,6864
11710-100220144,11710,10200,0,0017,0000,206동,6864
11710-100220211,11710,10200,0,0017,0000,116동,6864
11710-100220278,11710,10200,0,0017,0000,109동,6864
11710-100220333,11710,10200,0,0017,0000,207동,6864
11710-100220400,11710,10200,0,0017,0000,102동,6864
11710-100220585,11710,10200,0,0017,0000,110동,6864
11710-100220652,11710,10200,0,0017,0000,117동,6864
11710-100220719,11710,10200,0,0017,0000,208동,6864
11710-100220784,11710,10200,0,0017,0000,111동,6864
11710-100220839,11710,10200,0,0017,0000,118동,6864
11710-100220906,11710,10200,0,0017,0000,112동,6864
11710-100221051,11710,10200,0,0017,0000,119동,6864
11710-100221136,11710,10200,0,0017,0000,209동,6864
11710-100221201,11710,10200,0,0017,0000,210동,6864
11710-100221346,11710,10200,0,0017,0000,103동,6864
11710-100221433,11710,10200,0,0017,0000,120동,6864
11710-100221506,11710,10200,0,0017,0000,104동,6864
11710-100221605,11710,10200,0,0017,0000,113동,6864
11710-100221750,11710,10200,0,0017,0000,305동,6864
11710-100221895,11710,10200,0,0017,0000,215동,6864
11710-100222040,11710,10200,0,0017,0000,222동,6864
11710-100222107,11710,10200,0,0017,0000,229동,6864
11710-100222252,11710,10200,0,0017,0000,223동,6864
11710-100222313,11710,10200,0,0017,0000,306동,6864
11710-100222458,11710,10200,0,0017,0000,216동,6864
11710-100222603,11710,10200,0,0017,0000,224동,6864
11710-100222748,11710,10200,0,0017,0000,301동,6864
11710-100222813,11710,10200,0,0017,0000,307동,6864
11710-100222958,11710,10200,0,0017,0000,217동,6864
11710-100223103,11710,10200,0,0017,0000,225동,6864
11710-100223236,11710,10200,0,0017,0000,302동,6864
11710-100223299,11710,10200,0,0017,0000,303동,6864
11710-100223364,11710,10200,0,0017,0000,226동,6864
11710-100223485,11710,10200,0,0017,0000,218동,6864
11710-100223550,11710,10200,0,0017,0000,227동,6864
11710-100223671,11710,10200,0,0017,0000,214동,6864
11710-100223816,11710,10200,0,0017,0000,219동,6864
11710-100223881,11710,10200,0,0017,0000,304동,6864
11710-100224026,11710,10200,0,0017,0000,220동,6864
11710-100224091,11710,10200,0,0017,0000,221동,6864
11710-100224156,11710,10200,0,0017,0000,228동,6864
11710-100211494,11710,10100,0,0019,0000,121동,5678
11710-100211541,11710,10100,0,0019,0000,122동,5678
11710-100211638,11710,10100,0,0019,0000,132동,5678
11710-100211731,11710,10100,0,0019,0000,104동,5678
